지점,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),날씨,전운량(10분위)
112,2016.7.20 0:00,25.7,,1.3,98,,박무,8
112,2016.7.20 1:00,25.6,,1.4,98,,,
112,2016.7.20 2:00,25.4,,0.3,98,,,
112,2016.7.20 3:00,24.9,,1.1,98,,박무,8
112,2016.7.20 4:00,24.7,,0.7,98,,박무,8
112,2016.7.20 5:00,24.7,,1.2,98,,박무,5
112,2016.7.20 6:00,24.7,,1.1,98,,박무,8
112,2016.7.20 7:00,24.9,,2.1,98,,박무,5
112,2016.7.20 8:00,26.1,,3.2,98,,박무,3
112,2016.7.20 9:00,27.6,,3.1,92,,박무,0
112,2016.7.20 10:00,28.8,,2,89,,박무,3
112,2016.7.20 11:00,29.4,,1.9,83,,구름많음,8
112,2016.7.20 12:00,30.4,,1.8,82,,구름많음,6
112,2016.7.20 13:00,30.1,,2.5,84,,구름조금,5
112,2016.7.20 14:00,31.5,,1.8,76,,구름많음,7
112,2016.7.20 15:00,30.6,,3,77,,구름많음,7
112,2016.7.20 16:00,30,,3.8,82,,구름많음,8
112,2016.7.20 17:00,30,,2.8,91,,박무,8
112,2016.7.20 18:00,30.4,,1.9,83,,박무,8
112,2016.7.20 19:00,30,,2.1,85,,,
112,2016.7.20 20:00,29.2,,1.4,92,,,
112,2016.7.20 21:00,28.6,,2.4,92,,박무,8
112,2016.7.20 22:00,27.9,,2.1,94,,,
112,2016.7.20 23:00,28.1,,4.3,90,,,
112,2016.7.21 0:00,27.4,,3,95,,구름많음,8
112,2016.7.21 1:00,26.7,,4,92,,,
112,2016.7.21 2:00,26.2,,2.6,93,,,
112,2016.7.21 3:00,25.7,,2.7,93,,구름많음,6
112,2016.7.21 4:00,25.4,,2.8,93,,흐림,9
112,2016.7.21 5:00,25.1,,2.8,95,,구름많음,8
112,2016.7.21 6:00,25,,3.2,95,,흐림,10
112,2016.7.21 7:00,25.2,,2.4,96,,흐림,10
112,2016.7.21 8:00,26,,2.9,91,,흐림,10
112,2016.7.21 9:00,27,,2.7,90,,흐림,9
112,2016.7.21 10:00,27.3,,2.7,87,,흐림,10
112,2016.7.21 11:00,27.5,,2.9,89,,흐림,9
112,2016.7.21 12:00,28.8,,3.1,81,,흐림,9
112,2016.7.21 13:00,29.7,,2.8,82,,흐림,9
112,2016.7.21 14:00,30.2,,3.2,77,,구름많음,8
112,2016.7.21 15:00,30.5,,2.8,78,,구름많음,8
112,2016.7.21 16:00,31.4,,2.7,69,,구름많음,7
112,2016.7.21 17:00,31,,2.8,70,,구름많음,7
112,2016.7.21 18:00,30.7,,2.5,78,,구름많음,8
112,2016.7.21 19:00,30,,2.4,80,,,
112,2016.7.21 20:00,29.4,,3.3,79,,,
