지점,일시,평균기온(°C),최저기온(°C),최고기온(°C)
112,2016-07-20,28.1,24.6,31.6
112,2016-07-21,28,25,31.5
112,2016-07-22,28.5,25.9,32.3
112,2016-07-23,27.7,25.8,30.2
112,2016-07-24,27,26.4,28.9
112,2016-07-25,27,25.4,29.8
112,2016-07-26,27,25.3,29.2
112,2016-07-27,26.7,25.9,28.1
112,2016-07-28,26.2,24.5,28.2
112,2016-07-29,25.6,23.4,27.8
112,2016-07-30,27,24.6,30.3
112,2016-07-31,27.7,26.1,30.6
112,2016-08-01,26.9,24.9,29.4
112,2016-08-02,26.9,25.1,29.9
112,2016-08-03,28.2,25.2,32.2
112,2016-08-04,29,25.9,33.2
112,2016-08-05,29.4,26.6,33.3
112,2016-08-06,29.2,26.3,33.4
112,2016-08-07,28.7,25.8,32.7
112,2016-08-08,28.9,26.1,32.7
112,2016-08-09,29.2,25.4,33.3
112,2016-08-10,28.1,25.6,31
112,2016-08-11,29,26.1,33.6
112,2016-08-12,29,26.5,32.4
112,2016-08-13,28.9,26.7,31.8
112,2016-08-14,28.4,26.8,30.3
112,2016-08-15,28,25.9,31.5
112,2016-08-16,28.4,25.5,31.7
112,2016-08-17,28.9,25.8,32.4
112,2016-08-18,28.9,26,32.8
112,2016-08-19,29.2,26.9,31.9
112,2016-08-20,29.4,27.4,34
112,2016-08-21,29.8,27.2,34
112,2016-08-22,29,25.4,33.6
112,2016-08-23,28.9,26.7,32
112,2016-08-24,28.2,26.2,31.8
112,2016-08-25,27,23.5,31.1
112,2016-08-26,23.2,20.1,27
112,2016-08-27,23.8,18.9,28.2
112,2016-08-28,22.2,19.6,26
112,2016-08-29,22.8,18.4,26.8
112,2016-08-30,21.4,19.6,24.4
112,2016-08-31,19,16.9,20.8
112,2016-09-01,23.7,17.7,27.6
112,2016-09-02,24.1,20.6,28.9
112,2016-09-03,24.3,21.9,28.4
112,2016-09-04,24.8,22.3,28.1
112,2016-09-05,25.3,22.4,29.1
112,2016-09-06,24,21.7,26.9
112,2016-09-07,23.6,21.5,26.7
112,2016-09-08,23.4,21.9,26
112,2016-09-09,23.8,21.3,27.4
112,2016-09-10,24,21,28
112,2016-09-11,23.7,21.6,26.6
112,2016-09-12,23.8,21.4,27.7
112,2016-09-13,24,19.6,28.3
112,2016-09-14,24.5,22.1,27.9
112,2016-09-15,23.6,21,26.7
112,2016-09-16,23.9,21.5,27.2
112,2016-09-17,23.2,18.9,27.2
112,2016-09-18,23.4,19.6,27.2
112,2016-09-19,22,18.2,26.7
112,2016-09-20,20.9,15.4,25.8
112,2016-09-21,20.8,16.1,25.1
112,2016-09-22,22.1,18.6,26.2
112,2016-09-23,21.6,17.5,25.8
112,2016-09-24,22,18.5,26.2
112,2016-09-25,22.4,19.6,26.7
112,2016-09-26,23.9,20.7,28.5
112,2016-09-27,21,19.1,24
112,2016-09-28,19.7,18.4,21.6
112,2016-09-29,20.3,17.3,24.9
112,2016-09-30,20.6,17.9,23.1
112,2016-10-01,21.1,18.8,23.8
112,2016-10-02,19.4,16.9,22.3
112,2016-10-03,22,18.8,25.9
112,2016-10-04,22.4,16.8,27.7
112,2016-10-05,21,18,25.4
112,2016-10-06,17.5,13.9,21.1
112,2016-10-07,19.4,16.5,24.6
112,2016-10-08,16.7,10.6,20.5
112,2016-10-09,11.5,7.8,15.2
112,2016-10-10,13.7,9,18.2
112,2016-10-11,16.2,11.9,20
112,2016-10-12,14.9,11.6,18.5
112,2016-10-13,15,10.6,19.8
112,2016-10-14,17,13.4,21.5
112,2016-10-15,19.2,14.5,24.8
112,2016-10-16,17.7,16.2,19.5
112,2016-10-17,17.6,15.6,20.9
112,2016-10-18,16.4,12.4,21.5
112,2016-10-19,17.7,15.1,22
112,2016-10-20,18.8,14.4,24.2
112,2016-10-21,18.2,16.9,21.3
112,2016-10-22,17.9,15.5,20.6
112,2016-10-23,14,11.2,17.6
112,2016-10-24,15.6,10.3,20.1
112,2016-10-25,14.8,12.9,18
112,2016-10-26,14.1,11.3,16.7
112,2016-10-27,15,9.5,19.6
112,2016-10-28,14.8,10.2,17.5
112,2016-10-29,7.7,4.9,10.4
112,2016-10-30,8.7,4,13.4
112,2016-10-31,6.7,2.1,9.5
112,2016-11-01,2.1,-1.3,5.5
